bucket_start,tweet_count,signal_mean,ci_low,ci_high,mean_engagement,mean_likes
2026-08-03 04:00:00+00:00,20,0.08418224561524612,-0.08052409608794986,0.25535022809874175,1204.95,1011.7
2026-08-03 05:00:00+00:00,51,0.12186548848381815,0.02863637997289652,0.22375461259355486,4335.176470588235,3917.0196078431372
2026-08-03 06:00:00+00:00,50,0.004721478766469503,-0.10090472057912978,0.10757361126898939,1036.04,898.06
2026-08-03 07:00:00+00:00,55,0.04311603967525995,-0.0383994344210234,0.12358912319228839,843.5272727272727,684.8727272727273
2026-08-03 08:00:00+00:00,64,-0.0035177718423941295,-0.08617003182840578,0.0703100000396752,1775.4375,1583.765625
2026-08-03 09:00:00+00:00,98,0.044679945423407,-0.03093083565994541,0.11519762985051753,318.5204081632653,292.8061224489796
2026-08-03 10:00:00+00:00,252,0.03989143447958213,0.011917325891421384,0.06741045876859933,2406.59126984127,2061.690476190476
2026-08-03 11:00:00+00:00,101,0.1050758720145917,0.04008498891925926,0.16740065026791812,1235.7326732673268,1145.3861386138615
2026-08-03 12:00:00+00:00,75,0.11975085649858312,0.05877602596139642,0.1889332907046646,1941.0133333333333,1713.84
2026-08-03 13:00:00+00:00,74,0.03237628129439413,-0.025741795115108247,0.10008062455255609,4604.378378378378,3987.364864864865
2026-08-03 14:00:00+00:00,97,0.05613227066144636,0.003170853858514602,0.11670884229203472,1969.6494845360826,1656.7835051546392
2026-08-03 15:00:00+00:00,89,0.02077461270850182,-0.03125790488622123,0.06995303411585951,5025.38202247191,4407.831460674157
2026-08-03 16:00:00+00:00,71,0.05628863624163764,-0.011396116703406284,0.12193403888848782,3748.0,3116.56338028169
2026-08-03 17:00:00+00:00,70,0.022515634668526085,-0.06259819050561916,0.09974025282547451,6726.0142857142855,6222.085714285714
2026-08-03 18:00:00+00:00,35,-0.04356907540308452,-0.14905842738556216,0.06605601089064748,3918.0857142857144,3251.5714285714284
2026-08-03 19:00:00+00:00,25,0.0,-0.16,0.16,1641.68,1448.84
2026-08-03 20:00:00+00:00,22,-0.045454545454545456,-0.18181818181818182,0.0,12174.681818181818,10879.40909090909
2026-08-03 21:00:00+00:00,11,0.36363636363636365,0.09090909090909091,0.6363636363636364,1285.4545454545455,1096.8181818181818
2026-08-03 22:00:00+00:00,13,0.07692307692307693,0.0,0.23076923076923078,5732.923076923077,5370.0
2026-08-03 23:00:00+00:00,20,0.08288046958275289,0.0,0.21576093916550576,1627.6,1289.7
2026-08-04 00:00:00+00:00,24,0.009609200516917778,-0.13655321730859019,0.1564131704360961,1639.375,1388.4166666666667
2026-08-04 01:00:00+00:00,37,0.024185123344236444,-0.0655931997085447,0.1117307543245523,1099.8648648648648,852.4324324324324
2026-08-04 02:00:00+00:00,79,0.13229585454849094,0.04587573773407952,0.20400979243634887,389.2278481012658,325.8607594936709
2026-08-04 03:00:00+00:00,164,0.038998589925072664,-0.007305820804012613,0.07694600528925956,57.5,45.292682926829265
2026-08-04 04:00:00+00:00,165,0.02898031024696778,-0.027199514157641,0.07776031198927288,10.181818181818182,8.133333333333333
2026-08-04 05:00:00+00:00,109,0.059473299019419126,-0.012704140656205221,0.12720373596297757,6.3119266055045875,4.89908256880734
2026-08-04 06:00:00+00:00,68,0.0949739422846265,0.022340457574840145,0.18016602398693232,2.3529411764705883,1.6764705882352942
2026-08-04 07:00:00+00:00,52,0.019524495947659277,-0.0600935115678235,0.10616924850017291,2.230769230769231,0.8846153846153846
2026-08-04 08:00:00+00:00,43,0.0749092999579748,-0.033055186842163166,0.18559967621633067,2.744186046511628,1.6046511627906976
2026-08-04 09:00:00+00:00,83,0.04831455898085337,0.01573551579716686,0.08723646726990368,3.0120481927710845,2.0240963855421685
2026-08-04 10:00:00+00:00,81,0.04777463904091739,-0.003965365213168866,0.11898973892978341,4.888888888888889,3.9382716049382718
2026-08-04 11:00:00+00:00,32,0.02195870583656126,-0.08606685416607755,0.1391886818394699,1.53125,1.1875
2026-08-04 12:00:00+00:00,29,-0.04236778993850891,-0.15863085241652375,0.04975400704131144,3.6206896551724137,2.2413793103448274
2026-08-04 13:00:00+00:00,24,0.12813101951737196,0.03483649676896911,0.2333105185665305,4.416666666666667,3.0
2026-08-04 14:00:00+00:00,26,-0.03218232544357874,-0.13375788118766727,0.057916469360653824,4.384615384615385,2.3461538461538463
2026-08-04 15:00:00+00:00,25,0.013566741233996255,-0.05286651753200749,0.12,3.2,1.0
2026-08-04 16:00:00+00:00,14,0.00727201633242455,0.0,0.02181604899727365,2.2142857142857144,0.35714285714285715
